,listingAddress,unitNumber,listingId,rentAmount,rentType,bedrooms,bathrooms,housingType,dateAvailable,gmapLatitude,gmapLongitude,pets,air_conditioning,electricity_included,electronic_payments,furniture_included,heat_included,internet_included,kitchen_available,laundry_available,near_bus,osparking_available,osparking_included,psparking_available,water_included,faculty,ugrad,sabbatical,fa_sublet,sp_sublet,sum_sublet,short_term,graduate
19,116-18 EDDY STREET,,21.0,1295.0,Price per Unit,2,1,Rent,2017-08-01T04:00:00.000Z,42.4387856,-76.4873499,No,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20,78 Lois Lane,78,22.0,660.0,Price per Person,2,1,Rent,2018-05-17T04:00:00.000Z,42.423128,-76.467866,No,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
21,116 LAKE STREET,,23.0,700.0,Price per Person,1,1,Rent,2021-08-01T04:00:00.000Z,42.45058178180389,-76.49296689814759,No,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,425 CAYUGA STREET N,,24.0,1290.0,Price per Unit,1,1,Rent,2021-08-01T04:00:00.000Z,42.444197,-76.49883799999999,No,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
23,118 SCHUYLER PLACE,,25.0,2205.0,Price per Unit,3,1,Rent,2021-08-01T04:00:00.000Z,42.4402332,-76.4923736,No,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
24,225 Snyder Hill Rd,Upstairs,26.0,1375.0,Price per Unit,3,1,Rent,2017-08-02T04:00:00.000Z,42.42329400205836,-76.449552635582,Yes,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,7B Knoll Tree Rd,,27.0,325.0,Price per Person,2,1,Rent,2019-06-01T04:00:00.000Z,42.435604,-76.417058,No,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
26,225 Snyder Hill Road,First Floor,28.0,1175.0,Price per Unit,3,1,Rent,2017-08-02T04:00:00.000Z,42.423224,-76.449558,Yes,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,6891 Woodchuck Hill Rd.,,29.0,2857.0,Price per Unit,4,2.5,Rent,2017-03-29T04:00:00.000Z,43.012059,-76.04480199999999,Yes,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,6891 Woodchuck Hill Rd.,,30.0,2875.0,Price per Unit,4,2.5,Rent,2017-03-29T04:00:00.000Z,43.012128340918174,-76.044802,Yes,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
