,listingAddress,unitNumber,listingId,rentAmount,rentType,bedrooms,bathrooms,housingType,dateAvailable,gmapLatitude,gmapLongitude,pets,air_conditioning,electricity_included,electronic_payments,furniture_included,heat_included,internet_included,kitchen_available,laundry_available,near_bus,osparking_available,osparking_included,psparking_available,water_included,faculty,ugrad,sabbatical,fa_sublet,sp_sublet,sum_sublet,short_term,graduate
529,600 Warren Rd. - Warren Wood Apts.,031B,534.0,995.0,Price per Unit,1,1,Rent,2019-07-11T04:00:00.000Z,42.47799843278709,-76.46916,Yes,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
530,220 Eastern Heights Drive,,535.0,700.0,Price per Unit,1,1,Rent,2017-07-21T04:00:00.000Z,42.42249,-76.448785,No,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
531,108 Williams St,,536.0,800.0,Price per Person,1,1,Rent,2017-11-04T04:00:00.000Z,42.5898498,-76.36476259999999,No,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
532,201 BRYANT AVENUE,,537.0,2650.0,Price per Unit,7,1.5,Rent,2017-08-21T04:00:00.000Z,42.4392563,-76.48026399999999,No,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
533,123 QUARRY STREET S,,538.0,1430.0,Price per Unit,1,1,Rent,2021-07-01T04:00:00.000Z,42.43662594788435,-76.4880337,No,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
534,115 QUARRY STREET S,,539.0,615.0,Price per Unit,1,1,Room to Rent,2017-07-24T04:00:00.000Z,42.437288043006085,-76.48785389999999,No,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
535,111 QUARRY STREET S,,540.0,1575.0,Price per Unit,1,1,Rent,2017-07-24T04:00:00.000Z,42.4368968,-76.48818945595336,No,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
536,111 QUARRY STREET S,,541.0,1900.0,Price per Unit,2,1,Rent,2017-07-24T04:00:00.000Z,42.4368968,-76.48826988939933,No,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
537,207-15 FALL CREEK DRIVE,,542.0,2220.0,Price per Unit,3,1,Rent,2018-07-01T04:00:00.000Z,42.45279049285809,-76.487454,No,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
538,801-09 STATE STREET E,,543.0,2280.0,Price per Unit,2,2,Rent,2017-07-24T04:00:00.000Z,42.43721923595248,-76.48652539999999,No,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
539,106 VALENTINE PLACE,,544.0,3585.0,Price per Unit,3,3,Rent,2021-07-01T04:00:00.000Z,42.436799509980005,-76.48586829999999,No,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
540,114 HIGHLAND PLACE,,545.0,725.0,Price per Unit,1,1,Room to Rent,2018-01-01T05:00:00.000Z,42.44308053853268,-76.488603,No,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
541,340 GENEVA STREET S,,546.0,650.0,Price per Unit,studio,1,Rent,2017-08-01T04:00:00.000Z,42.4350405,-76.5007603,No,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
542,308 Mary Lane,1,547.0,720.0,Price per Unit,2,2,Rent,2017-09-01T04:00:00.000Z,42.44969455918957,-76.4404205,Yes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
543,502 DRYDEN ROAD,1,548.0,2685.0,Price per Person,1,1,Room to Rent,2018-01-01T05:00:00.000Z,42.4412974,-76.4804466,No,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
544,119 Salem Dr,,549.0,900.0,Price per Unit,1,1,Rent,2017-08-01T04:00:00.000Z,42.470075,-76.458468,No,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
545,118 PROSPECT STREET,1V,550.0,1180.0,Price per Unit,1,1,Rent,2017-08-09T04:00:00.000Z,42.4376555,-76.4959156,No,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
546,107 Roosevelt Ave,,551.0,1000.0,Price per Unit,3,1.5,Rent,2017-08-01T04:00:00.000Z,42.5921831,-76.371409,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
547,314 PLAIN STREET N,#1,552.0,2000.0,Price per Unit,3,1,Rent,2017-08-01T04:00:00.000Z,42.44182147988093,-76.5043225,No,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
548,1501 danby road,2,553.0,3600.0,Price per Person,4,1.5,Room to Rent,2017-12-27T05:00:00.000Z,42.3766648,-76.4886799,No,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
549,105 CATHERINE STREET,"Whole house/ 3, 4 & 5 Bedroom",554.0,900.0,Price per Person,10,4,Rent,2018-07-27T04:00:00.000Z,42.4401458,-76.48648963335896,No,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
550,565 Daisy Hollow Rd,,555.0,400.0,Price per Unit,1,1,Rent,2017-08-01T04:00:00.000Z,42.43376941503368,-76.23620551901854,No,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
551,931 Deer Trail Road,,556.0,995.0,Price per Unit,2,2,Rent,2019-09-04T04:00:00.000Z,42.69545681719112,-76.6766209,Yes,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
552,9 Village Circle,7,557.0,864.0,Price per Unit,1,1,Rent,2017-08-25T04:00:00.000Z,42.50937843268168,-76.4700479,Yes,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
553,211 AUBURN STREET,211 Auburn St #1,558.0,1350.0,Price per Unit,3,1,Rent,2017-08-02T04:00:00.000Z,42.4490569,-76.5005347,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
554,126 Honnes Ln,,559.0,1400.0,Price per Unit,3,1,Rent,2017-08-01T04:00:00.000Z,42.4298,-76.468727,Yes,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
555,600 Warren Rd.,,560.0,650.0,Price per Person,1,1,Share,2017-07-28T04:00:00.000Z,42.4775014,-76.4693382568183,No,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
556,2250 N Triphammer Rd,S2E,561.0,650.0,Price per Unit,2,1,Room to Rent,2017-07-29T04:00:00.000Z,42.4787826,-76.48463398835074,No,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
557,2250 N Triphammer Rd,,562.0,650.0,Price per Unit,2,1,Room to Rent,2017-12-31T05:00:00.000Z,42.4787826,-76.48418890940455,No,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
558,322 PLEASANT STREET,,563.0,600.0,Price per Person,3,1,Rent,2017-08-01T04:00:00.000Z,42.43690369999999,-76.4936060068284,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
559,322 PLEASANT STREET,,564.0,600.0,Price per Person,3,1,Rent,2017-08-01T04:00:00.000Z,42.43690369999999,-76.49369438637788,No,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
560,2009 Dryden Rd,,565.0,2000.0,Price per Unit,3,3.5,Rent,2017-08-15T04:00:00.000Z,42.4863818,-76.34640519999999,No,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
561,34 Hunt Hill Road,34 Hunt Hill Road,566.0,850.0,Price per Unit,1,1,Rent,2017-08-31T04:00:00.000Z,42.422815701046076,-76.3738046,No,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
562,2321 Agard Rd.,,567.0,2000.0,Price per Unit,5,2,Rent,2018-08-01T04:00:00.000Z,42.523712,-76.600381,Yes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
563,503 BUFFALO STREET E,9,568.0,760.0,Price per Person,4,2,Share,2017-08-01T04:00:00.000Z,42.4413435,-76.4917373,No,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
564,127 Rachel Carson Way,,569.0,1300.0,Price per Unit,1,1.5,Rent,2017-08-10T04:00:00.000Z,42.441803001366196,-76.540769,Yes,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
565,137-39 SPENCER STREET E,B,570.0,875.0,Price per Unit,2,1,Rent,2019-08-01T04:00:00.000Z,42.4361814,-76.4972949,No,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
566,346 Warren Road,Apt 2,571.0,895.0,Price per Unit,1,1,Rent,2017-08-02T04:00:00.000Z,42.464756,-76.46734368669128,Yes,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
567,9 Rosina Drive,,572.0,2450.0,Price per Unit,3,2.5,Rent,2017-08-15T04:00:00.000Z,42.49549592138669,-76.4871919,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
568,216 GENEVA STREET S,#2,573.0,650.0,Price per Person,2,1,Room to Rent,2017-08-07T04:00:00.000Z,42.43778,-76.50092250000002,No,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
569,518-22 DRYDEN ROAD,A3A,574.0,999.0,Price per Unit,1,1,Rent,2020-06-19T04:00:00.000Z,42.441393,-76.4788209656963,Yes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
570,406 GREEN STREET W,2,575.0,1450.0,Price per Unit,2,1,Rent,2017-09-09T04:00:00.000Z,42.4386796,-76.50312533270377,No,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
571,626-28 Stewart Avenue,1-2,576.0,600.0,Price per Unit,studio,1,Rent,2017-08-05T04:00:00.000Z,42.4471856,-76.4906453,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
572,Boiceville Road,,577.0,1150.0,Price per Unit,studio,1,Rent,2017-08-15T04:00:00.000Z,42.389785420292064,-76.36254079999999,Yes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
573,110 DRYDEN ROAD,4HI,578.0,890.0,Price per Unit,5,2,Rent,2017-08-17T04:00:00.000Z,42.441778,-76.4858523298641,No,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
574,71 Middaugh Road,1,579.0,1250.0,Price per Unit,3,1,Rent,2018-01-21T05:00:00.000Z,42.38435217903339,-76.41206860542297,Yes,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
575,127 Birdseye View Lane,A & B,580.0,700.0,Price per Person,4,2,Share,2017-08-06T04:00:00.000Z,42.4106735,-76.5034046,No,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
576,"426 Winthrop Dr., Ithaca, NY",6,581.0,1025.0,Price per Unit,2,1.5,Rent,2017-08-18T04:00:00.000Z,42.4741335,-76.4668957,No,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
577,202 LINDEN AVENUE,,582.0,850.0,Price per Person,1,1.5,Room to Rent,2021-01-24T05:00:00.000Z,42.43953131668774,-76.48434224585549,No,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
578,301 DRYDEN ROAD,garden apartment,583.0,850.0,Price per Person,1,1,Room to Rent,2019-08-26T04:00:00.000Z,42.44148057738412,-76.48412702645658,No,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
579,100 FAIRVIEW SQUARE,5A,584.0,1449.0,Price per Unit,1,1,Rent,2020-06-12T04:00:00.000Z,42.4406469,-76.47637665592761,Yes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
580,424 Klinewoods Road,,585.0,1000.0,Price per Person,3,1.5,Room to Rent,2017-08-09T04:00:00.000Z,42.4700376,-76.4816997,Yes,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
581,"424 Klinewoods Road, Ithaca, NY 14850",,586.0,1200.0,Price per Person,3,1.5,Room to Rent,2017-09-05T04:00:00.000Z,42.4700376,-76.48201611684658,Yes,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
582,113-19 Dryden Road,7E,587.0,1095.0,Price per Person,2,1,Room to Rent,2018-01-02T05:00:00.000Z,42.4414769,-76.4866773,No,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
583,115 FAYETTE STREET,3,588.0,750.0,Price per Unit,3,1,Room to Rent,2017-08-14T04:00:00.000Z,42.4378679,-76.50227843001272,No,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
584,2462 West Danby Rd.,,589.0,1750.0,Price per Unit,3,2,Rent,2020-08-18T04:00:00.000Z,42.311417510936565,-76.5242791,Yes,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
585,511 CHESTNUT STREET,3,590.0,895.0,Price per Unit,1,1,Rent,2018-06-28T04:00:00.000Z,42.4373137,-76.51923882266438,No,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
586,378 Snyder Hill Road,,591.0,1550.0,Price per Unit,3,2,Rent,2017-09-02T04:00:00.000Z,42.4221975,-76.4392561,No,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
587,2756 Slaterville Rd,1,592.0,1000.0,Price per Unit,2,1,Rent,2017-08-11T04:00:00.000Z,42.3929493,-76.3422389,Yes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
588,315 COURT STREET E,,593.0,575.0,Price per Person,2,1,Rent,2017-08-20T04:00:00.000Z,42.4424861,-76.494824,Yes,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
589,1001-03 STATE STREET E,101 Water St.,594.0,1300.0,Price per Unit,2,1,Rent,2017-08-16T04:00:00.000Z,42.434554700844636,-76.4819421,Yes,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
590,236 Durfee Hill Road,,595.0,1200.0,Price per Unit,3,2,Rent,2017-09-01T04:00:00.000Z,42.345317876919026,-76.440257,Yes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
591,143 MAPLE AVENUE #2,Apartment 10,596.0,1013.0,Price per Person,1,1,Rent,2017-08-15T04:00:00.000Z,42.4406438,-76.475284,No,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
592,108-10 EDDY STREET,Apt 00,597.0,825.0,Price per Person,3,1,Rent,2019-07-01T04:00:00.000Z,42.4385671,-76.4876007,No,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
593,110 Armstrong Road,0,598.0,650.0,Price per Person,3,2.5,Room to Rent,2017-08-15T04:00:00.000Z,42.5343919,-76.48501,No,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
594,110 Armstrong Road,0,599.0,650.0,Price per Person,3,2.5,Room to Rent,2017-08-15T04:00:00.000Z,42.5343919,-76.48475355099738,No,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
595,110 Armstrong Road,,600.0,650.0,Price per Person,3,2.5,Room to Rent,2017-08-15T04:00:00.000Z,42.5343919,-76.48490076233516,No,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
596,63 Waterwagon Rd,,601.0,200.0,Price per Person,3,1,Room to Rent,2019-02-01T05:00:00.000Z,42.51541324668329,-76.50034553460159,No,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
597,514 AURORA STREET S,3A,602.0,995.0,Price per Unit,1,1,Rent,2017-08-17T04:00:00.000Z,42.43499869470457,-76.4954581,Yes,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
598,301 DRYDEN ROAD,garden apt@243Linden Ave.,603.0,850.0,Price per Person,3,1,Room to Rent,2020-08-06T04:00:00.000Z,42.441570349877665,-76.4840628412145,No,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
599,37 Uptown Rd,11A,604.0,510.0,Price per Person,2,1,Rent,2017-08-20T04:00:00.000Z,42.480759,-76.47504780095933,No,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
600,320 HILLVIEW PLACE,3A,605.0,995.0,Price per Unit,1,1,Rent,2017-08-17T04:00:00.000Z,42.4350104,-76.4950557,Yes,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
601,1513 Slatterville Rd,#2,606.0,1200.0,Price per Unit,2,1,Rent,2018-08-01T04:00:00.000Z,42.4208317,-76.46099219999999,Yes,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
602,804-B STATE STREET E,00,607.0,795.0,Price per Person,3,3,Rent,2018-06-10T04:00:00.000Z,42.4379324,-76.4868057,No,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
603,228 LINDEN AVENUE,00,608.0,975.0,Price per Person,5,2,Rent,2021-08-05T04:00:00.000Z,42.4407933,-76.4843897,No,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
604,230 LINDEN AVENUE,02,609.0,975.0,Price per Person,3,1,Rent,2021-08-05T04:00:00.000Z,42.4408918,-76.484393,No,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
605,680 Valley Rd,,610.0,995.0,Price per Unit,2,1,Rent,2017-08-20T04:00:00.000Z,42.3826003,-76.3793204,No,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
606,7 Lisa Lane,A,612.0,1000.0,Price per Unit,2,1,Rent,2017-09-15T04:00:00.000Z,42.470448,-76.4757762,No,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
607,317 Eddy Street,8,613.0,500.0,Price per Person,3,1,Room to Rent,2018-01-01T05:00:00.000Z,42.4414814,-76.487332,No,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
608,1157 East Shore Drive,,614.0,2050.0,Price per Unit,2,1,Rent,2017-08-22T04:00:00.000Z,42.4788183,-76.50677270000001,No,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
609,103 White Park Road,,615.0,688.0,Price per Person,5,2.5,Room to Rent,2017-12-16T05:00:00.000Z,42.4599607,-76.4860885,No,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
610,209 COLLEGE AVENUE,Apartment 2,616.0,600.0,Price per Person,1,2,Room to Rent,2018-01-14T05:00:00.000Z,42.4399059,-76.48485269999999,No,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
611,117 STEWART AVENUE,1,617.0,700.0,Price per Person,5,3,Rent,2020-06-01T04:00:00.000Z,42.440370999318006,-76.48944850489352,No,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
612,108 TERRACE PLACE,#2,618.0,1200.0,Price per Unit,2,1,Rent,2017-11-01T04:00:00.000Z,42.441870191020804,-76.4945659,No,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
613,706 BUFFALO STREET E,,619.0,850.0,Price per Unit,1,1,Rent,2019-08-01T04:00:00.000Z,42.44179150895503,-76.4883382724525,No,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
614,404-06 UNIVERSITY AVENUE,00,620.0,675.0,Price per Person,3,1,Rent,2021-08-01T04:00:00.000Z,42.4476509,-76.4931314,No,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
615,230 LINDEN AVENUE,5,621.0,950.0,Price per Person,1,1,Rent,2018-01-03T05:00:00.000Z,42.4408918,-76.48437562901992,No,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
